scene_name,total_obstacles_area,robots_distances,narrowest_transition_dist,is_linear
1.json,128,33.970562748477136,4,0
2.json,128,32.616937999067744,8,2
3.json,128,35.09349774020892,4,1
4.json,131,19.666219384463094,4,0
5.json,168,30.591439320442433,4,1
6.json,192,23.265265666794843,3,0
7.json,113,29.647847675019435,4,0
8.json,113,38.2380787878091,4,0
9.json,113,29.035668847618197,6,0
10.json,120,31.81118379775953,5.2,2
11.json,122,37.56693246298437,3,1
12.json,120,28.940582561258765,3,0
13.json,128,28.940582561258765,3,0
14.json,123,28.940582561258765,3,0
15.json,105,22.104364190238385,4,1
16.json,105,29.068965225991107,4,0
17.json,111.1415926535898,26.966793087589416,5.1,0
18.json,111.1415926535898,29.159934488911937,5.1,0
19.json,111.1415926535898,27.880656852401337,5.1,0
20.json,101.2831853071796,36.82386522543601,3,0
21.json,101.2831853071796,37.54406208912857,3,0
22.json,101.2831853071796,29.666310319990977,3,2
23.json,102.2831853071796,29.666310319990977,3,2
24.json,104.2831853071796,29.666310319990977,3,1
25.json,125,32.1557350384785,3,1
26.json,125,33.72302555483553,3,1
27.json,125,33.97062660905384,3,0
28.json,125,32.55787476027264,3,1
29.json,125,28.282476612317247,3,1
30.json,107,27.459160483598655,3.3,0
31.json,144,30.442336559873453,5,1
32.json,144,30.052903773781217,5,0
33.json,144,28.246209340460474,5,0
34.json,144,24.317821063276355,5,1
35.json,144,28.74002616513231,5,0
36.json,144,30.12920936411825,5,0
37.json,144,23.53736552056924,5,0
38.json,122.1415926535898,14.21110255092798,3,0
39.json,122.1415926535898,23.0312195418814,3,0
40.json,122.1415926535898,35.492005573892925,3,0
41.json,122.1415926535898,27.083141515457363,3,1
42.json,122.1415926535898,16.126452950002893,3,1
43.json,122.1415926535898,23.091053985755615,3,2
44.json,122.1415926535898,27.074073658023497,3,1
45.json,104.1415926535898,33.68023221981848,3.5,1
46.json,104.1415926535898,27.083141515457363,6.5,0
47.json,104.1415926535898,32.1698920010509,4,0
48.json,105.1415926535898,32.1698920010509,3,0
49.json,107.2831853071796,22.219544457292887,4,0
50.json,107.2831853071796,21.219544457292887,3,0
51.json,132.14159265358978,27.502062827274536,2.2,0
52.json,143.14159265358978,29.13274595042156,3,0
53.json,139.14159265358978,29.13274595042156,3,0
54.json,154.2831853071796,20.0,3,0
55.json,148,20.0,3,0
56.json,148,34.40930106817051,3,0
57.json,148,34.40930106817051,3,0
58.json,180,34.40930106817051,3,0
59.json,180,34.40930106817051,3,0
60.json,180,28.0,3,0
61.json,194,28.0,3,0
62.json,194,20.0,3,0
63.json,194,34.40930106817051,3,0
64.json,200.2831853071796,34.40930106817051,3,0
65.json,206.5663706143592,34.40930106817051,3,0
66.json,206.5663706143592,28.0,3,0
67.json,206.5663706143592,28.0,3,0
68.json,90,31.463864143340423,4,0
69.json,93,31.463864143340423,4,0
70.json,93,29.7038322902917,4,0
71.json,96,29.7038322902917,3,0
72.json,96,29.892443989449802,3,0
73.json,96,29.9236635313312,3,0
74.json,106,27.892443989449802,3,0
75.json,106,28.866068747318508,3,0
76.json,109.2831853071796,28.866068747318508,3,0
77.json,112.42477796076938,28.866068747318508,2.2,0
78.json,112.42477796076938,28.231546211727817,2.2,0
79.json,116.56637061435917,20.035668847618197,4,0
80.json,117.42477796076938,35.8322501920848,2.2,0
81.json,115.1415926535898,40.518284528683196,2.2,0
82.json,124.56637061435917,26.60104705898141,2.2,0
83.json,143.42477796076938,26.60104705898141,2.2,0
84.json,136.14159265358978,31.518284528683193,2.2,1
85.json,102,29.7038322902917,3,0
86.json,102,27.165525060596437,3,1
87.json,111,27.165525060596437,3,1
88.json,111,35.58942684493549,3,0
89.json,111.56637061435917,35.58942684493549,2.2,0
90.json,111.56637061435917,21.04987562112089,2.2,0
91.json,111.1415926535898,21.04987562112089,2.2,0
92.json,111.1415926535898,32.59106210029044,2.2,0
93.json,91,45.254833995939045,2.2,1
94.json,96,45.254833995939045,2.2,1
95.json,98,45.254833995939045,2.2,1
96.json,101,45.254833995939045,2.2,0
97.json,104,45.254833995939045,2.2,0
98.json,107.1415926535898,45.254833995939045,2.2,0
99.json,112.1415926535898,45.254833995939045,2.2,0
100.json,112.1415926535898,45.254833995939045,2.2,0
